=== run 2026-08-13T19:10:25  device=cuda  arm=ar  amp=bf16  compile=False ===
model: params=26.5M  dropout=0.1
data:  train_games=979951  val_games=20049  tokens/epoch=71.1M
sched: epochs=8.00  steps=20408  steps/epoch=2551  warmup=1020  eval_every=2000  tokens_seen=569M
  [eval] step 12000  val_loss 1.8085  train_loss 1.8591  *best*  [saved]
step  12000/20408  loss 1.8400  lr 2.74e-04  4654.5s
step  12100/20408  loss 1.8402  lr 2.70e-04  4686.4s
step  12200/20408  loss 1.8240  lr 2.66e-04  4718.2s
step  12300/20408  loss 1.8371  lr 2.61e-04  4750.0s
step  12400/20408  loss 1.8236  lr 2.57e-04  4781.8s
step  12500/20408  loss 1.8411  lr 2.53e-04  4813.6s
step  12600/20408  loss 1.8266  lr 2.49e-04  4845.4s
step  12700/20408  loss 1.8324  lr 2.45e-04  4877.2s
step  12800/20408  loss 1.7835  lr 2.40e-04  4909.2s
step  12900/20408  loss 1.8088  lr 2.36e-04  5013.2s
step  13000/20408  loss 1.8169  lr 2.32e-04  5051.2s
step  13100/20408  loss 1.7976  lr 2.28e-04  5083.2s
step  13200/20408  loss 1.7998  lr 2.24e-04  5115.1s
step  13300/20408  loss 1.8068  lr 2.20e-04  5147.0s
step  13400/20408  loss 1.8138  lr 2.16e-04  5178.9s
step  13500/20408  loss 1.7951  lr 2.12e-04  5232.5s
step  13600/20408  loss 1.7958  lr 2.08e-04  5264.3s
step  13700/20408  loss 1.7817  lr 2.04e-04  5304.1s
step  13800/20408  loss 1.7437  lr 2.01e-04  5335.9s
step  13900/20408  loss 1.7642  lr 1.97e-04  5367.7s
  [eval] step 14000  val_loss 1.7784  train_loss 1.7810  *best*  [saved]
step  14000/20408  loss 1.7871  lr 1.93e-04  5404.1s
step  14100/20408  loss 1.8026  lr 1.89e-04  5435.9s
step  14200/20408  loss 1.7807  lr 1.85e-04  5467.7s
step  14300/20408  loss 1.7800  lr 1.82e-04  5499.5s
step  14400/20408  loss 1.8063  lr 1.78e-04  5531.3s
step  14500/20408  loss 1.7632  lr 1.75e-04  5563.1s
step  14600/20408  loss 1.8013  lr 1.71e-04  5594.9s
step  14700/20408  loss 1.7820  lr 1.67e-04  5626.7s
step  14800/20408  loss 1.8068  lr 1.64e-04  5683.3s
step  14900/20408  loss 1.7845  lr 1.61e-04  5715.1s
step  15000/20408  loss 1.7479  lr 1.57e-04  5746.9s
step  15100/20408  loss 1.7867  lr 1.54e-04  5778.8s
step  15200/20408  loss 1.7705  lr 1.51e-04  5810.6s
step  15300/20408  loss 1.7890  lr 1.47e-04  5894.3s
step  15400/20408  loss 1.7447  lr 1.44e-04  5927.4s
step  15500/20408  loss 1.7488  lr 1.41e-04  5959.4s
step  15600/20408  loss 1.7624  lr 1.38e-04  5991.3s
step  15700/20408  loss 1.7325  lr 1.35e-04  6023.2s
step  15800/20408  loss 1.7705  lr 1.32e-04  6055.1s
step  15900/20408  loss 1.7426  lr 1.29e-04  6098.4s
  [eval] step 16000  val_loss 1.7547  train_loss 1.7349  *best*  [saved]
step  16000/20408  loss 1.7569  lr 1.26e-04  6231.1s
step  16100/20408  loss 1.7355  lr 1.23e-04  6262.7s
step  16200/20408  loss 1.7758  lr 1.20e-04  6294.6s
step  16300/20408  loss 1.7569  lr 1.18e-04  6331.6s
step  16400/20408  loss 1.7398  lr 1.15e-04  6363.5s
step  16500/20408  loss 1.7796  lr 1.12e-04  6452.2s
step  16600/20408  loss 1.7488  lr 1.10e-04  6484.2s
step  16700/20408  loss 1.7551  lr 1.07e-04  6516.2s
step  16800/20408  loss 1.7446  lr 1.05e-04  6548.2s
step  16900/20408  loss 1.7547  lr 1.02e-04  6580.1s
step  17000/20408  loss 1.7365  lr 1.00e-04  6612.0s
step  17100/20408  loss 1.7462  lr 9.79e-05  6643.8s
step  17200/20408  loss 1.7474  lr 9.57e-05  6675.7s
step  17300/20408  loss 1.7325  lr 9.35e-05  6707.5s
step  17400/20408  loss 1.7450  lr 9.14e-05  6739.3s
step  17500/20408  loss 1.7396  lr 8.94e-05  6771.2s
step  17600/20408  loss 1.7278  lr 8.75e-05  6803.0s
step  17700/20408  loss 1.7483  lr 8.56e-05  6834.9s
